index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
43,5.195736,-4.686553,-3.940963,3.759866,-0.563543,-1.590643,0.000000,0.000000,-0.000000
44,5.536961,-5.375916,-5.047421,3.421271,-0.924946,-1.701791,0.000000,0.000000,0.000000
45,8.981552,-14.716360,-3.560925,2.440412,-1.365960,-0.532655,-0.000000,-0.000000,0.000000
46,7.283325,-14.372154,-2.479894,2.592755,-0.995754,0.032656,0.000000,0.000000,0.000000
47,7.315284,-14.660830,-4.379949,2.116734,-1.529930,-0.189639,0.000000,0.000000,-0.000000
48,-4.446780,-8.523506,-2.894411,1.559510,0.657414,0.622859,0.000000,0.000000,0.000000
49,-3.094690,-7.281775,-3.966943,2.018540,0.321565,0.451147,0.000000,-0.000000,0.000000
50,17.318421,11.485217,-3.313876,9.366951,3.302287,-8.733536,-0.000000,0.000000,0.000000
51,-2.463623,12.423464,4.741994,8.243977,3.314154,-1.370346,-0.000000,-0.000000,-0.000000
52,-2.514626,13.151424,3.919308,8.154274,3.147124,-1.654282,-0.000000,0.000000,-0.000000
53,-3.400778,11.279597,4.829355,7.970422,3.244067,-0.818065,0.000000,-0.000000,-0.000000
54,11.364457,4.591200,-7.612355,5.169067,-0.768020,-6.050075,0.000000,-0.000000,0.000000
55,11.163972,6.122621,-7.827052,5.378992,-0.658029,-6.449262,0.000000,0.000000,-0.000000
56,18.801362,8.564758,-5.040234,8.161462,2.037118,-9.263754,0.000000,0.000000,0.000000
57,11.257171,13.428984,-2.542514,7.940121,1.468784,-7.076774,-0.000000,-0.000000,0.000000
58,9.728961,13.449558,-1.457728,8.066391,1.749858,-6.424308,-0.000000,0.000000,-0.000000
59,10.610620,13.491953,-1.347933,8.194120,1.795253,-6.684323,-0.000000,0.000000,-0.000000
60,1.784107,-5.497510,-7.008909,2.602344,-1.361730,-0.882509,0.000000,-0.000000,-0.000000
61,2.044095,-4.776509,-7.474227,2.650988,-1.438039,-1.171487,0.000000,-0.000000,0.000000
62,6.764839,7.247887,2.014985,7.655637,2.151457,-3.514125,0.000000,-0.000000,0.000000
63,5.698792,8.562803,1.294956,7.570912,2.050193,-3.612994,0.000000,0.000000,-0.000000
64,-0.930270,13.601759,2.529226,8.045040,2.795859,-2.477604,0.000000,0.000000,0.000000
65,7.816106,6.838769,1.741730,7.628133,2.054259,-3.790300,-0.000000,0.000000,-0.000000
66,6.611310,6.844677,0.381577,7.149187,1.661027,-3.662633,-0.000000,-0.000000,-0.000000
67,7.673107,7.265167,-0.930428,6.989424,1.342517,-4.311168,-0.000000,-0.000000,0.000000
68,4.730196,-4.005028,-6.253479,3.317846,-1.117208,-1.918009,0.000000,-0.000000,0.000000
69,5.793722,10.708481,0.291277,7.668702,1.953411,-4.301633,-0.000000,0.000000,0.000000
70,0.127858,2.781714,-5.005196,4.372798,-0.176606,-1.733856,0.000000,-0.000000,-0.000000
71,0.639568,2.179604,-5.605469,4.180118,-0.383736,-1.861389,-0.000000,0.000000,-0.000000
72,18.489025,12.108827,-4.559285,9.511415,3.182057,-9.910595,-0.000000,-0.000000,0.000000
73,8.843864,8.856808,0.694055,7.790844,1.946978,-4.743675,-0.000000,0.000000,-0.000000
74,1.288975,-0.410458,-7.078821,3.456885,-0.970767,-1.780811,0.000000,-0.000000,0.000000
75,2.602162,-0.184630,-7.968996,3.412424,-1.243890,-2.349776,-0.000000,-0.000000,0.000000
76,-3.532093,10.350932,3.309843,7.409807,2.744222,-0.835617,0.000000,0.000000,0.000000
77,-3.410733,11.490170,3.174150,7.584067,2.802190,-1.144450,0.000000,-0.000000,0.000000
78,1.765616,0.843794,-2.630410,4.799896,0.310458,-1.450800,0.000000,0.000000,0.000000
